Date,Open,High,Low,Close,Adj Close,Volume
2017-06-01,0.226909,0.236655,0.197074,0.231172,0.231172,5911817
2017-06-02,0.231375,0.231291,0.207033,0.211127,0.211127,4209596
2017-06-03,0.211070,0.249598,0.208587,0.223900,0.223900,6388732
2017-06-04,0.223807,0.475217,0.222293,0.385425,0.385425,37225189
2017-06-05,0.384724,0.445181,0.363572,0.393013,0.393013,19265746
2017-06-06,0.392997,0.412722,0.342164,0.349679,0.349679,14399052
2017-06-07,0.348538,0.379259,0.307301,0.322359,0.322359,15064359
2017-06-08,0.323298,0.346472,0.288745,0.301834,0.301834,12022045
2017-06-09,0.300329,0.323010,0.292842,0.303138,0.303138,8076584
2017-06-10,0.302770,0.313046,0.261586,0.265348,0.265348,11132190
2017-06-11,0.263223,0.276753,0.237654,0.245207,0.245207,9200122
2017-06-12,0.245331,0.285792,0.202998,0.243286,0.243286,9549553
2017-06-13,0.243475,0.266380,0.231697,0.257588,0.257588,7334428
2017-06-14,0.256538,0.260508,0.215280,0.224297,0.224297,4987043
2017-06-15,0.225306,0.289287,0.192571,0.285559,0.285559,8716541
2017-06-16,0.281685,0.325115,0.247093,0.307472,0.307472,16126868
2017-06-17,0.306093,0.306093,0.272442,0.275276,0.275276,7415809
2017-06-18,0.277474,0.281283,0.257400,0.260953,0.260953,3738703
2017-06-19,0.261528,0.268352,0.238064,0.239489,0.239489,7046077
2017-06-20,0.239599,0.261162,0.237406,0.254509,0.254509,4948371
2017-06-21,0.253309,0.260916,0.244445,0.249727,0.249727,4579863
2017-06-22,0.249793,0.249850,0.232628,0.235723,0.235723,3460766
2017-06-23,0.235251,0.271213,0.229155,0.263358,0.263358,4199638
2017-06-24,0.266870,0.269722,0.234637,0.246855,0.246855,2994547
2017-06-25,0.245210,0.250641,0.210423,0.225682,0.225682,3530128
2017-06-26,0.225390,0.233342,0.184405,0.201206,0.201206,4505144
2017-06-27,0.207853,0.212903,0.161908,0.201365,0.201365,5091001
2017-06-28,0.202987,0.228908,0.191370,0.226563,0.226563,3421953
2017-06-29,0.227454,0.227863,0.198391,0.201254,0.201254,2442859
2017-06-30,0.201710,0.203703,0.176588,0.176343,0.176343,2020102
2017-07-01,0.178031,0.185017,0.162903,0.169639,0.169639,2406248
2017-07-02,0.169800,0.172225,0.146454,0.161044,0.161044,4114949
2017-07-03,0.160857,0.174123,0.159539,0.167255,0.167255,2882339
2017-07-04,0.169069,0.181402,0.166733,0.169815,0.169815,2530910
2017-07-05,0.169469,0.171364,0.162393,0.167113,0.167113,1898325
2017-07-06,0.167200,0.168936,0.151653,0.157335,0.157335,2288470
2017-07-07,0.157034,0.159826,0.131557,0.138688,0.138688,1989985
2017-07-08,0.138895,0.140606,0.125085,0.135911,0.135911,1828880
2017-07-09,0.134947,0.142254,0.133324,0.137536,0.137536,1492212
2017-07-10,0.138135,0.144394,0.110723,0.115670,0.115670,1694312
2017-07-11,0.115234,0.122708,0.103284,0.113876,0.113876,1891474
2017-07-12,0.113617,0.130544,0.105588,0.129286,0.129286,1455119
2017-07-13,0.130759,0.131604,0.112373,0.116175,0.116175,1146381
2017-07-14,0.116058,0.117874,0.104805,0.108957,0.108957,934863
2017-07-15,0.109454,0.109598,0.096507,0.099499,0.099499,701671
2017-07-16,0.099269,0.100269,0.083722,0.090746,0.090746,854669
2017-07-17,0.090627,0.113711,0.090491,0.112749,0.112749,934958
2017-07-18,0.112422,0.129687,0.107414,0.120868,0.120868,1423574
2017-07-19,0.121306,0.125381,0.099744,0.103296,0.103296,1768924
2017-07-20,0.103815,0.126612,0.103893,0.123686,0.123686,1466328
2017-07-21,0.125131,0.133825,0.122037,0.129004,0.129004,1195761
2017-07-22,0.128720,0.168934,0.128720,0.168814,0.168814,2225054
2017-07-23,0.170871,0.173841,0.148165,0.162078,0.162078,2043066
2017-07-24,0.160338,0.211126,0.152173,0.180244,0.180244,5340754
2017-07-25,0.180321,0.198499,0.143572,0.146693,0.146693,4254458
2017-07-26,0.146239,0.151160,0.131857,0.150878,0.150878,1739448
2017-07-27,0.151148,0.154512,0.140970,0.143994,0.143994,1482247
2017-07-28,0.144735,0.144718,0.130840,0.133107,0.133107,2033788
2017-07-29,0.131344,0.134550,0.124704,0.134550,0.134550,948508
2017-07-30,0.134402,0.135853,0.124721,0.125421,0.125421,1087782
2017-07-31,0.125531,0.130667,0.122604,0.130348,0.130348,1738172
2017-08-01,0.130379,0.161628,0.124835,0.151409,0.151409,3115392
2017-08-02,0.151390,0.165191,0.141799,0.145940,0.145940,2192448
2017-08-03,0.146588,0.176838,0.143073,0.176838,0.176838,2974290
2017-08-04,0.176916,0.188525,0.168843,0.176924,0.176924,3997135
2017-08-05,0.177681,0.211524,0.173653,0.201121,0.201121,3043625
2017-08-06,0.201169,0.220007,0.187914,0.212088,0.212088,4746321
2017-08-07,0.209754,0.244009,0.199164,0.216427,0.216427,5119863
2017-08-08,0.217583,0.234032,0.204172,0.216475,0.216475,4120566
2017-08-09,0.216433,0.219715,0.200431,0.204435,0.204435,2642819
2017-08-10,0.203327,0.273600,0.192104,0.254492,0.254492,10559209
