Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2017-06-01,0.2269,0.2367,0.1971,0.2312,5911817,0,0
2017-06-02,0.2314,0.2313,0.207,0.2111,4209596,0,0
2017-06-03,0.2111,0.2496,0.2086,0.2239,6388732,0,0
2017-06-04,0.2238,0.4752,0.2223,0.3854,37225189,0,0
2017-06-05,0.3847,0.4452,0.3636,0.393,19265746,0,0
2017-06-06,0.393,0.4127,0.3422,0.3497,14399052,0,0
2017-06-07,0.3485,0.3793,0.3073,0.3224,15064359,0,0
2017-06-08,0.3233,0.3465,0.2887,0.3018,12022045,0,0
2017-06-09,0.3003,0.323,0.2928,0.3031,8076584,0,0
2017-06-10,0.3028,0.313,0.2616,0.2653,11132190,0,0
2017-06-11,0.2632,0.2768,0.2377,0.2452,9200122,0,0
2017-06-12,0.2453,0.2858,0.203,0.2433,9549553,0,0
2017-06-13,0.2435,0.2664,0.2317,0.2576,7334428,0,0
2017-06-14,0.2565,0.2605,0.2153,0.2243,4987043,0,0
2017-06-15,0.2253,0.2893,0.1926,0.2856,8716541,0,0
2017-06-16,0.2817,0.3251,0.2471,0.3075,16126868,0,0
2017-06-17,0.3061,0.3061,0.2724,0.2753,7415809,0,0
2017-06-18,0.2775,0.2813,0.2574,0.261,3738703,0,0
2017-06-19,0.2615,0.2684,0.2381,0.2395,7046077,0,0
2017-06-20,0.2396,0.2612,0.2374,0.2545,4948371,0,0
2017-06-21,0.2533,0.2609,0.2444,0.2497,4579863,0,0
2017-06-22,0.2498,0.2498,0.2326,0.2357,3460766,0,0
2017-06-23,0.2353,0.2712,0.2292,0.2634,4199638,0,0
2017-06-24,0.2669,0.2697,0.2346,0.2469,2994547,0,0
2017-06-25,0.2452,0.2506,0.2104,0.2257,3530128,0,0
2017-06-26,0.2254,0.2333,0.1844,0.2012,4505144,0,0
2017-06-27,0.2079,0.2129,0.1619,0.2014,5091001,0,0
2017-06-28,0.203,0.2289,0.1914,0.2266,3421953,0,0
2017-06-29,0.2275,0.2279,0.1984,0.2013,2442859,0,0
2017-06-30,0.2017,0.2037,0.1766,0.1763,2020102,0,0
2017-07-01,0.178,0.185,0.1629,0.1696,2406248,0,0
2017-07-02,0.1698,0.1722,0.1465,0.161,4114949,0,0
2017-07-03,0.1609,0.1741,0.1595,0.1673,2882339,0,0
2017-07-04,0.1691,0.1814,0.1667,0.1698,2530910,0,0
